account_username,account_name,political_party,comments
PabloIglesias,Pablo Iglesias ?,podemos,
Santi_ABASCAL,,vox,
pablocasado_,,pp,
sanchezcastejon,,psoe,
NunezFeijoo,,pp,
ierrejon,,podemos,
IreneMontero,,podemos,
Macarena_Olona,,vox,
ivanedlm,,vox,
monasterioR,,vox,
Ortega_Smith,,vox,
PabloEchenique,,podemos,
MayoralRafa,,podemos,
Yolanda_Diaz_,,podemos,
agarzon,,podemos,
IdiazAyuso,,pp,
PP_Rubi,Partido Popular de Rubí,pp,
ppcv,Partido Popular Comunitat Valenciana,pp,
voxmarratxi,Vox Marratxí,vox,
CiudadLinealVox,VOX Ciudad Lineal,vox,
voxnoticias_es,VOX Noticias ??,vox,
vox_es,VOX ??,vox,
VOXSegovia,VOX Segovia,vox,
Vox_Almeria,VOX Almería,vox,
VoxVillaverde,VOX Villaverde,vox,
Vox_Avila,VOX Ávila,vox,
VOX_Congreso,Grupo Parlamentario de VOX en el Congreso,vox,
VOXCiudadRealpr,VOX Ciudad Real,vox,
VoxHinojosas,Vox Hinojosas de Calatrava,vox,
voxdaimiel,VOX Daimiel,vox,
VOX_leganes,VOX Leganés,vox,
vox_vizcaya,VOX Vizcaya,vox,
VoxReinoUnido,Vox Reino Unido,vox,
voxjovenes,VOX Jóvenes ??,vox,
VOX_Getafe,VOX Getafe,vox,
madrid_vox,VOX Madrid,vox,
VoxArganda,Vox Arganda,vox,
voxbarbate,VOX Barbate ??,vox,
VoxCalahorra,VOX-Calahorra,vox,
VoxArenas,VOX Arenas de San Juan,vox,
andorra_vox,VOX Andorra,vox,
vox_alcobendas,VOX Alcobendas,vox,
VoxCorrales,VOX Los Corrales De Buelna,vox,
VOX_Europa_,VOX Europa,vox,
VoxMoncloa,VOX Moncloa Aravaca,vox,
Vox_LaCoruna_,VOX La Coruña,vox,
voxsantadria,VOX Sant Adrià de Besòs,vox,
PODEMOS,PODEMOS,podemos,
PodemosProvALM,PODEMOS ALMERIA PROVINCIA,podemos,
upiuleganes,UNIDAS PODEMOS - IU Leganés,podemos,
PodemosCaraban1,Podemos Carabanchel,podemos,
podemosguindfbe,Podemos Salamanca-Guindalera-Fuente del berro,podemos,
PodemosCanabico,Podemos Cannábico,podemos,
PodemosAlcorcon,Podemos Alcorcón,podemos,
SanJavierPuede,Podemos San Javier,podemos,
RedPodemosLatam,RED CÍRCULOS PODEMOS LATINOAMERICA,podemos,
psoesantander,PSOE Santander,psoe,
JusticiaPSOE,"Sec. de Justicia, RRII y Función Pública del PSOE",psoe,
psoeex,PSOE de Extremadura /❤️,psoe,
PSOE,PSOE,psoe,
PsoeCerroAmate,PSOE Cerro Amate,psoe,
PsoeBadajozCEP,PSOE Prov. Badajoz,psoe,
PSOEM_Salamanca,PSOE Distrito Salamanca/♥️,psoe,
gpscongreso,PSOE Congreso,psoe,
PSOEC,PSOE Cáceres,psoe,
PSOEeconomia,PSOE Economía,psoe,
gpssenado,PSOE SENADO,psoe,
PSOESanJeronimo,PSOESanJeronimo,psoe,
FSA_PSOE,FSA-PSOE,psoe,
MirafloresPsoe,PSOE Miraflores Sevilla /♥️,psoe,
PsoeLugo,PSdeG-PSOE Provincial Lugo,psoe,
PSOESoria,PSOE Soria,psoe,
PSOETorrelavega,PSOE Torrelavega,psoe,
aragonpsoe,PSOE Aragón,psoe,
granadapsoe,PSOE Granada Capital,psoe,
PsoeDipuCordoba,PSOE Diputación de Córdoba,psoe,
PSOEAlcaladeH,PSOE de Alcalá/❤️,psoe,
psoetotana,PSOE Totana,psoe,
ppaytogu,Grupo Popular Ayto. Guadalajara,pp,
GPPopular,Grupo Popular Congreso ??,pp,
